Strain Name,plate384,Well384,Gene name,gene discription,Accession Number,Row384,Column384
NE362,1,N4,,putative teichoic acid biosynthesis protein B,SAUSA300_0247,N,4
NE363,1,N6,,staphylococcal tandem lipoprotein,SAUSA300_0103,N,6
NE364,1,N8,,"ABC transporter, ATP-binding protein, MsbA family",SAUSA300_0671,N,8
NE365,1,N10,,putative lipoprotein,SAUSA300_1738,N,10
NE366,1,N12,,putative Na+/H+ antiporter,SAUSA300_2384,N,12
NE367,1,N14,,arginine repressor,SAUSA300_2571,N,14
NE368,1,N16,,choline dehydrogenase,SAUSA300_2545,N,16
NE369,1,N18,guaC,guanosine monophosphate reductase,SAUSA300_1235,N,18
NE370,1,N20,,conserved hypothetical protein,SAUSA300_1847,N,20
NE371,1,N22,,putative membrane protein,SAUSA300_0222,N,22
NE372,1,N24,,SAP domain protein,SAUSA300_2101,N,24
NE373,1,P2,,conserved hypothetical protein,SAUSA300_2642,P,2
NE374,1,P4,feoB,ferrous iron transport protein B,SAUSA300_2487,P,4
NE375,1,P6,ear,Ear protein,SAUSA300_0815,P,6
NE376,1,P8,,putative membrane protein,SAUSA300_1334,P,8
NE377,1,P10,,conserved hypothetical protein,SAUSA300_1505,P,10
NE378,1,P12,,putative membrane protein,SAUSA300_0010,P,12
NE379,1,P14,,conserved hypothetical protein,SAUSA300_2137,P,14
NE380,1,P16,,"hydrolase, CocE/NonD family",SAUSA300_2531,P,16
NE381,1,P18,,"glycosyl transferase, group 1 family protein",SAUSA300_0549,P,18
NE382,1,P20,crtN,squalene synthase,SAUSA300_2498,P,20
NE383,1,P22,,putative membrane protein,SAUSA300_0279,P,22
NE384,1,P24,,conserved hypothetical protein,SAUSA300_0281,P,24
NE385,2,A1,acsA,acetyl-coenzyme A synthetase,SAUSA300_1679,A,1
NE386,2,A3,rot,staphylococcal accessory regulator Rot,SAUSA300_1708,A,3
NE387,2,A5,,conserved hypothetical protein,SAUSA300_2493,A,5
NE388,2,A7,,sodium-dependent transporter,SAUSA300_1897,A,7
NE389,2,A9,,conserved hypothetical protein,SAUSA300_1906,A,9
NE390,2,A11,gltB,"glutamate synthase, large subunit",SAUSA300_0445,A,11
NE391,2,A13,clfB,clumping factor B,SAUSA300_2565,A,13
NE392,2,A15,,"peptide ABC transporter, ATP-binding protein",SAUSA300_0200,A,15
NE393,2,A17,,glyoxalase family protein,SAUSA300_1458,A,17
NE394,2,A19,oppF,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_0893,A,19
NE395,2,A21,nagA,N-acetylglucosamine-6-phosphate deacetylase,SAUSA300_0686,A,21
NE396,2,A23,,conserved hypothetical protein,SAUSA300_0462,A,23
NE397,2,C1,argF,ornithine carbamoyltransferase,SAUSA300_1062,C,1
NE398,2,C3,,conserved hypothetical protein,SAUSA300_0096,C,3
NE399,2,C5,,"preprotein translocase, SecY protein",SAUSA300_2588,C,5
NE400,2,C7,,"iron compound ABC transporter, iron compound-binding protein",SAUSA300_2136,C,7
NE401,2,C9,,phiSLT ORF 175-like protein,SAUSA300_1417,C,9
NE402,2,C11,lytN,cell wall hydrolase,SAUSA300_1140,C,11
NE403,2,C13,,DegV family protein,SAUSA300_1318,C,13
NE404,2,C15,,putative endoribonuclease L-PSP,SAUSA300_0474,C,15
NE405,2,C17,,MATE efflux family protein,SAUSA300_0335,C,17
NE406,2,C19,fhuA,ferrichrome transport ATP-binding protein fhuA,SAUSA300_0633,C,19
NE407,2,C21,,putative membrane protein,SAUSA300_2405,C,21
NE408,2,C23,,putative staphylococcal tandem lipoprotein,SAUSA300_2424,C,23
NE409,2,E1,,"hydrolase, haloacid dehalogenase-like family",SAUSA300_2267,E,1
NE410,2,E3,ureC,"urease, alpha subunit",SAUSA300_2240,E,3
NE411,2,E5,,putative phage infection protein,SAUSA300_2578,E,5
NE412,2,E7,,conserved hypothetical protein,SAUSA300_1374,E,7
NE413,2,E9,,phiSLT ORF 50-like protein,SAUSA300_1412,E,9
NE414,2,E11,,conserved hypothetical protein,SAUSA300_0272,E,11
NE415,2,E13,,putative transcriptional regulator,SAUSA300_2259,E,13
NE416,2,E15,,putative cobalamin synthesis protein,SAUSA300_2519,E,15
NE417,2,E17,int,integrase,SAUSA300_0799,E,17
NE418,2,E19,,cation efflux family protein,SAUSA300_2363,E,19
NE419,2,E21,,conserved hypothetical protein,SAUSA300_2297,E,21
NE420,2,E23,pbp3,penicillin-binding protein 3,SAUSA300_1512,E,23
NE421,2,G1,,conserved hypothetical protein,SAUSA300_0711,G,1
NE422,2,G3,,conserved hypothetical protein,SAUSA300_0324,G,3
NE423,2,G5,kdpD,"sensor histidine kinase, KdpD",SAUSA300_2035,G,5
NE424,2,G7,pdp,pyrimidine nucleoside phosphorylase,SAUSA300_2089,G,7
NE425,2,G9,,putative ribose operon repressor,SAUSA300_0265,G,9
NE426,2,G11,tatC,Sec-independent protein translocase TatC,SAUSA300_0347,G,11
NE427,2,G13,fumC,"fumarate hydratase, class II",SAUSA300_1801,G,13
NE428,2,G15,moaE,"molybdopterin converting factor, subunit 2",SAUSA300_2222,G,15
NE429,2,G17,cap5C,capsular polysaccharide biosynthesis protein cap5C,SAUSA300_0154,G,17
NE430,2,G19,,putative transporter,SAUSA300_2417,G,19
NE431,2,G21,,iron-dependent repressor,SAUSA300_0621,G,21
NE432,2,G23,sdrC,sdrC protein,SAUSA300_0546,G,23
NE433,2,I1,pstC,"phosphate ABC transporter, permease protein PstC",SAUSA300_1282,I,1
NE434,2,I3,,phosphosugar-binding transcriptional regulator,SAUSA300_2271,I,3
NE435,2,I5,hutU,urocanate hydratase,SAUSA300_2278,I,5
NE436,2,I7,,lactose phosphotransferase system repressor,SAUSA300_2156,I,7
NE437,2,I9,,putative membrane protein,SAUSA300_0291,I,9
NE438,2,I11,Cap5J,capsular polysaccharide biosynthesis protein Cap5J,SAUSA300_0161,I,11
NE439,2,I13,,choloylglycine hydrolase family protein,SAUSA300_0269,I,13
NE440,2,I15,oppA,"oligopeptide ABC transporter, substrate-binding protein",SAUSA300_0891,I,15
NE441,2,I17,frp,NAD(P)H-flavin oxidoreductase,SAUSA300_2462,I,17
NE442,2,I19,,"phiSLT ORF122-like protein, DNA polymerase",SAUSA300_1421,I,19
NE443,2,I21,,conserved hypothetical protein,SAUSA300_2621,I,21
NE444,2,I23,pepS,aminopeptidase PepS,SAUSA300_1860,I,23
NE445,2,K1,,ImpB/MucB/SamB family protein,SAUSA300_1259,K,1
NE446,2,K3,prfC,peptide chain release factor 3,SAUSA300_0921,K,3
NE447,2,K5,,putative iron-sulfur cluster-binding protein,SAUSA300_1806,K,5
NE448,2,K7,,putative membrane protein,SAUSA300_1324,K,7
NE449,2,K9,,phiSLT ORF636-like protein,SAUSA300_1389,K,9
NE450,2,K11,,"PTS system, IIBC components",SAUSA300_0236,K,11
NE451,2,K13,,"acetyltransferase, GNAT family",SAUSA300_2316,K,13
NE452,2,K15,,conserved hypothetical protein,SAUSA300_2523,K,15
NE453,2,K17,sbi,IgG-binding protein SBI,SAUSA300_2364,K,17
NE454,2,K19,arcR,"transcriptional regulator, Crp/Fnr family",SAUSA300_2566,K,19
NE455,2,K21,,bacterial luciferase family protein,SAUSA300_1580,K,21
NE456,2,K23,,conserved hypothetical protein,SAUSA300_1019,K,23
NE457,2,M1,,"peptide ABC transporter, permease protein",SAUSA300_0202,M,1
NE458,2,M3,xseA,"exodeoxyribonuclease VII, large subunit",SAUSA300_1472,M,3
NE459,2,M5,fmhA,fmhA protein,SAUSA300_2356,M,5
NE460,2,M7,atl,autolysin,SAUSA300_0955,M,7
NE461,2,M9,,polysaccharide extrusion protein,SAUSA300_0134,M,9
NE462,2,M11,,putative membrane protein,SAUSA300_0917,M,11
NE463,2,M13,,conserved hypothetical protein,SAUSA300_1871,M,13
NE464,2,M15,pcp,pyrrolidone-carboxylate peptidase,SAUSA300_2623,M,15
NE465,2,M17,,glycerate kinase,SAUSA300_2377,M,17
NE466,2,M19,,putative DNA primase,SAUSA300_0809,M,19
NE467,2,M21,,conserved hypothetical protein,SAUSA300_0644,M,21
NE468,2,M23,,phytoene dehydrogenase,SAUSA300_2501,M,23
NE469,2,O1,scrB,sucrose-6-phosphate hydrolase,SAUSA300_1994,O,1
NE470,2,O3,,putative membrane protein,SAUSA300_0346,O,3
NE471,2,O5,,putative cell wall enzyme EbsB,SAUSA300_1326,O,5
NE472,2,O7,fmtB,truncated FmtB protein,SAUSA300_2109,O,7
NE473,2,O9,,putative membrane protein,SAUSA300_0013,O,9
NE474,2,O11,,conserved hypothetical protein,SAUSA300_2446,O,11
NE475,2,O13,,putative exotoxin 4,SAUSA300_1060,O,13
NE476,2,O15,fba,fructose bisphosphate aldolase,SAUSA300_2079,O,15
NE477,2,O17,deoD,purine nucleoside phosphorylase,SAUSA300_0138,O,17
NE478,2,O19,phnE,"phosphonate ABC transporter, permease protein",SAUSA300_0142,O,19
NE479,2,O21,,putative competence protein ComGA,SAUSA300_1504,O,21
NE480,2,O23,,undecaprenol kinase,SAUSA300_0669,O,23
NE481,2,B1,,DNA-binding response regulator,SAUSA300_0645,B,1
NE482,2,B3,oppF,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_0890,B,3
NE483,2,B5,pepT,peptidase T,SAUSA300_0727,B,5
NE484,2,B7,,"amino acid ABC transporter, permease/substrate-binding protein",SAUSA300_1808,B,7
NE485,2,B9,,"glycine dehydrogenase, subunit 2",SAUSA300_1496,B,9
NE486,2,B11,,"putative chromosome partioning protein, ParB family",SAUSA300_2643,B,11
NE487,2,B13,,conserved hypothetical protein,SAUSA300_0042,B,13
NE488,2,B15,,putative membrane protein,SAUSA300_0953,B,15
NE489,2,B17,,exotoxin,SAUSA300_0403,B,17
NE490,2,B19,,TPR domain protein,SAUSA300_0746,B,19
NE491,2,B21,icd,"isocitrate dehydrogenase, NADP-dependent",SAUSA300_1640,B,21
NE492,2,B23,,conserved hypothetical protein,SAUSA300_1793,B,23
NE493,2,D1,,conserved hypothetical protein,AUSA300_2158,D,1
NE494,2,D3,purQ,phosphoribosylformylglycinamidine synthase I,SAUSA300_0970,D,3
NE495,2,D5,ccrB,cassette chromosome recombinase B,SAUSA300_0037,D,5
NE496,2,D7,,"transporter, TRAP family",SAUSA300_1064,D,7
NE497,2,D9,,putative D-isomer specific 2-hydroxyacid dehydrogenase,SAUSA300_0179,D,9
NE498,2,D11,,conserved hypothetical protein,SAUSA300_0286,D,11
NE499,2,D13,,putative membrane protein,SAUSA300_0817,D,13
NE500,2,D15,,3-hydroxyacyl-CoA dehydrogenase,SAUSA300_0226,D,15
NE501,2,D17,rnr,ribonuclease R,SAUSA300_0764,D,17
NE502,2,D19,,conserved hypothetical protein,SAUSA300_1977,D,19
NE503,2,D21,estA,tributyrin esterase,SAUSA300_2564,D,21
NE504,2,D23,,phiSLT ORF191-like protein,SAUSA300_1392,D,23
NE505,2,F1,,"transcriptional regulator, LysR family domain protein",SAUSA300_0093,F,1
NE506,2,F3,,conserved hypothetical protein,SAUSA300_2215,F,3
NE507,2,F5,,"RNA methyltransferase, TrmH family",SAUSA300_1036,F,5
NE508,2,F7,argG,argininosuccinate synthase,SAUSA300_0864,F,7
NE509,2,F9,,staphylococcal tandem lipoprotein,SAUSA300_0205,F,9
NE510,2,F11,fmtB,truncated FmtB protein,SAUSA300_2110,F,11
NE511,2,F13,arcC,carbamate kinase,SAUSA300_0061,F,13
NE512,2,F15,modC,"molybdenum ABC transporter, ATP-binding protein ModC",SAUSA300_2228,F,15
NE513,2,F17,,putative helicase,SAUSA300_2431,F,17
NE514,2,F19,sarT,staphylococcal accessory regulator T,SAUSA300_2437,F,19
NE515,2,F21,ilvA,threonine dehydratase,SAUSA300_1330,F,21
NE516,2,F23,,conserved hypothetical protein,SAUSA300_1508,F,23
NE517,2,H1,,"IS1272, transposase",SAUSA300_0034,H,1
NE518,2,H3,,glycosyl transferase,SAUSA300_2500,H,3
NE519,2,H5,,"peptidase, M20/M25/M40 family",SAUSA300_1460,H,5
NE520,2,H7,proC,pyrroline-5-carboxylate reductase,SAUSA300_1452,H,7
NE521,2,H9,,"ABC transporter, permease protein",SAUSA300_2307,H,9
NE522,2,H11,purB,adenylosuccinate lyase,SAUSA300_1889,H,11
NE523,2,H13,,"phi77 ORF011-like protein, phage transcriptional repressor",SAUSA300_1969,H,13
NE524,2,H15,,conserved hypothetical protein,SAUSA300_0371,H,15
NE525,2,H17,,putative NADP-dependent malic enzyme,SAUSA300_1648,H,17
NE526,2,H19,,putative membrane protein,SAUSA300_0694,H,19
NE527,2,H21,epiB,lantibiotic epidermin biosynthesis protein EpiB,SAUSA300_1766,H,21
NE528,2,H23,,putative permease,SAUSA300_0091,H,23
NE529,2,J1,purA,adenylosuccinate synthetase,SAUSA300_0017,J,1
NE530,2,J3,,"transcriptional regulator, AraC family",SAUSA300_2248,J,3
NE531,2,J5,,putative drug transporter,SAUSA300_2128,J,5
NE532,2,J7,,conserved hypothetical protein,SAUSA300_2473,J,7
NE533,2,J9,,"ABC transporter, permease protein",SAUSA300_0436,J,9
NE534,2,J11,,conserved hypothetical protein,SAUSA300_1537,J,11
NE535,2,J13,spsA,signal peptidase IA,SAUSA300_0867,J,13
NE536,2,J15,,conserved hypothetical protein,SAUSA300_0780,J,15
NE537,2,J17,,conserved hypothetical protein,SAUSA300_0378,J,17
NE538,2,J19,thiI,thiamine biosynthesis protein ThiI,SAUSA300_1661,J,19
NE539,2,J21,fadE,acyl-CoA synthetase FadE,SAUSA300_0228,J,21
NE540,2,J23,,conserved hypothetical protein,SAUSA300_2615,J,23
NE541,2,L1,,"peptide ABC transporter, permease protein",SAUSA300_0201,L,1
NE542,2,L3,,"putative fructose-1,6-bisphosphatase",SAUSA300_2455,L,3
NE543,2,L5,clfA,clumping factor A,SAUSA300_0772,L,5
NE544,2,L7,nupC,pyrimidine nucleoside transport protein,SAUSA300_0506,L,7
NE545,2,L9,,conserved hypothetical protein,SAUSA300_0298,L,9
NE546,2,L11,,conserved hypothetical protein,SAUSA300_0564,L,11
NE547,2,L13,sucA,"2-oxoglutarate dehydrogenase, E1 component",SAUSA300_1306,L,13
NE548,2,L15,,putative transporter,SAUSA300_2139,L,15
NE549,2,L17,,homoserine dehydrogenase,SAUSA300_1226,L,17
NE550,2,L19,,conserved hypothetical protein,SAUSA300_2269,L,19
NE551,2,L21,,putative fibronectin/fibrinogen binding protein,SAUSA300_1101,L,21
NE552,2,L23,,"oligopeptide ABC transporter, ATP-binding protein",SAUSA300_2408,L,23
NE553,2,N1,,conserved hypothetical protein,SAUSA300_0261,N,1
NE554,2,N3,vraR,DNA-binding response regulator,SAUSA300_1865,N,3
NE555,2,N5,recF,DNA replication and repair protein recF,SAUSA300_0004,N,5
NE556,2,N7,,conserved hypothetical protein,SAUSA300_2510,N,7
NE557,2,N9,,iron transport associated domain protein,SAUSA300_1030,N,9
NE558,2,N11,lukE,leukotoxin LukE,SAUSA300_1769,N,11
NE559,2,N13,,conserved hypothetical phage protein,SAUSA300_1426,N,13
NE560,2,N15,gltS,sodium/glutamate symporter,SAUSA300_2291,N,15
NE561,2,N17,,copper-translocating P-type ATPase,SAUSA300_2494,N,17
NE562,2,N19,,ROK family protein,SAUSA300_0316,N,19
NE563,2,N21,,glutathione peroxidase,SAUSA300_2555,N,21
NE564,2,N23,cidC,pyruvate oxidase,SAUSA300_2477,N,23
NE565,2,P1,,ATP-dependent RNA helicase,SAUSA300_2037,P,1
NE566,2,P3,gltT,proton/sodium-glutamate symport protein,SAUSA300_2329,P,3
NE567,2,P5,,"transcriptional regulator, MarR family",SAUSA300_2331,P,5
NE568,2,P7,,Zn-binding lipoprotein adcA-like protein,SAUSA300_2351,P,7
NE569,2,P9,sucC,"succinyl-CoA synthetase, beta subunit",SAUSA300_1138,P,9
NE570,2,P11,hutH,histidine ammonia-lyase,SAUSA300_0008,P,11
NE571,2,P13,,putative transposase,SAUSA300_2263,P,13
NE572,2,P15,,D-isomer specific 2-hydroxyacid dehydrogenase,SAUSA300_0834,P,15
NE573,2,P17,ribBA,riboflavin biosynthesis protein,SAUSA300_1713,P,17
NE574,2,P19,,hypothetical protein,SAUSA300_0072,P,19
NE575,2,P21,,"oxidoreductase, aldo/keto reductase family",SAUSA300_1450,P,21
NE576,2,P23,gutB,sorbitol dehydrogenase,SAUSA300_0242,P,23
NE577,2,A2,,PAP2 family protein,SAUSA300_1310,A,2
NE578,2,A4,,"iron compound ABC transporter, permease protein",SAUSA300_0599,A,4
NE579,2,A6,,aspartate kinase,SAUSA300_1286,A,6
NE580,2,A8,cap5G,capsular polysaccharide biosynthesis protein cap5G,SAUSA300_0158,A,8
NE581,2,A10,purF,amidophosphoribosyltransferase,SAUSA300_0972,A,10
NE582,2,A12,,conserved hypothetical protein,SAUSA300_1333,A,12
NE583,2,A14,,conserved hypothetical protein,SAUSA300_1716,A,14
NE584,2,A16,narK,nitrite extrusion protein,SAUSA300_2333,A,16
NE585,2,A18,,NAD-dependent epimerase/dehydratase family  protein,SAUSA300_0130,A,18
NE586,2,A20,hutI,imidazolonepropionase,SAUSA300_2277,A,20
NE587,2,A22,pheA,prephenate dehydratase,SAUSA300_1896,A,22
NE588,2,A24,srrB,"staphylococcal respiratory response protein, srrB",SAUSA300_1441,A,24
NE589,2,C2,,sodium/bile acid symporter family protein,SAUSA300_2268,C,2
NE590,2,C4,copA,ATPase copper transport,SAUSA300_0078,C,4
NE591,2,C6,,trans-sulfuration enzyme family protein,SAUSA300_0359,C,6
NE592,2,C8,atpA,"ATP synthase F1, alpha subunit",SAUSA300_2060,C,8
NE593,2,C10,trpE,anthranilate synthase component I,SAUSA300_1262,C,10
NE594,2,C12,gltA,citrate synthase II,SAUSA300_1641,C,12
NE595,2,C14,argJ,arginine biosynthesis bifunctional protein ArgJ,SAUSA300_0185,C,14
NE596,2,C16,sgtB,monofunctional glycosyltransferase,SAUSA300_1855,C,16
NE597,2,C18,ispE,4-diphosphocytidyl-2C-methyl-D-erythritol  kinase,SAUSA300_0472,C,18
NE598,2,C20,,putative N-acetyltransferase,SAUSA300_2631,C,20
NE599,2,C22,,conserved hypothetical protein,SAUSA300_0146,C,22
NE600,2,C24,,putative peptidase,SAUSA300_2087,C,24
NE601,2,E2,,conserved hypothetical protein,SAUSA300_0660,E,2
NE602,2,E4,,conserved hypothetical protein,SAUSA300_2376,E,4
NE603,2,E6,moeA,molybdopterin biosynthesis protein A,SAUSA300_2224,E,6
NE604,2,E8,,conserved hypothetical protein,SAUSA300_0284,E,8
NE605,2,E10,brnQ,branched-chain amino acid transport system II  carrier protein,SAUSA300_0306,E,10
NE606,2,E12,,conserved hypothetical protein,SAUSA300_0199,E,12
NE607,2,E14,phnE,"phosphonate ABC transporter, permease protein",SAUSA300_0143,E,14
NE608,2,E16,,conserved hypothetical protein,SAUSA300_1210,E,16
NE609,2,E18,,conserved hypothetical protein,SAUSA300_0086,E,18
NE610,2,E20,lysP,lysine-specific permease,SAUSA300_1628,E,20
NE611,2,E22,,"glycosyl transferase, group 1 family protein",SAUSA300_0939,E,22
NE612,2,E24,pflB,formate acetyltransferase,SAUSA300_0220,E,24
NE613,2,G2,,ATP guanido phosphotransferase,SAUSA300_0509,G,2
NE614,2,G4,galU,UTP-glucose-1-phosphate uridylyltransferase,SAUSA300_2439,G,4
NE615,2,G6,,conserved hypothetical protein,SAUSA300_0040,G,6
NE616,2,G8,,conserved hypothetical protein,SAUSA300_0754,G,8
NE617,2,G10,epiG,lantibiotic epidermin immunity protein F,SAUSA300_1760,G,10
NE618,2,G12,phoR,sensory box histidine kinase PhoR,SAUSA300_1638,G,12
NE619,2,G14,,"5'-nucleotidase, lipoprotein e(P4) family",SAUSA300_0307,G,14
NE620,2,G16,,PAP2 family protein,SAUSA300_0429,G,16
NE621,2,G18,,conserved hypothetical protein,SAUSA300_0581,G,18
NE622,2,G20,,putative nucleoside permease NupC,SAUSA300_0313,G,20
NE623,2,G22,arcA,arginine deiminase,SAUSA300_2570,G,22
NE624,2,G24,,conserved hypothetical protein,SAUSA300_0679,G,24
NE625,2,I2,,sodium:dicarboxylate symporter family protein,SAUSA300_0382,I,2
NE626,2,I4,sdhA,"succinate dehydrogenase, flavoprotein subunit",SAUSA300_1047,I,4
NE627,2,I6,,putative membrane protein,SAUSA300_2211,I,6
NE628,2,I8,,formate/nitrite transporter family protein,SAUSA300_2349,I,8
NE629,2,I10,,glycerate kinase family protein,SAUSA300_0726,I,10
NE630,2,I12,,"acetyltransferase, GNAT family",SAUSA300_0665,I,12
NE631,2,I14,,phiPVL ORF39-like protein,SAUSA300_1962,I,14
NE632,2,I16,,conserved hypothetical protein,SAUSA300_0390,I,16
NE633,2,I18,,conserved hypothetical protein,SAUSA300_2415,I,18
NE634,2,I20,,putative membrane protein,SAUSA300_1809,I,20
NE635,2,I22,ribE,"riboflavin synthase, alpha subunit",SAUSA300_1714,I,22
NE636,2,I24,,exfoliative toxin A,SAUSA300_1065,I,24
NE637,2,K2,cbf1,cmp-binding-factor 1,SAUSA300_1791,K,2
NE638,2,K4,,conserved hypothetical protein,SAUSA300_0353,K,4
NE639,2,K6,,putative glycerophosphoryl diester  phosphodiesterase,SAUSA300_0030,K,6
NE640,2,K8,,conserved hypothetical phage protein,SAUSA300_1413,K,8
NE641,2,K10,lytM,peptidoglycan hydrolase,SAUSA300_0270,K,10
NE642,2,K12,budA,alpha-acetolactate decarboxylase,SAUSA300_2536,K,12
NE643,2,K14,,staphylococcal tandem lipoprotein,SAUSA300_0102,K,14
NE644,2,K16,,"acetyltransferase, GNAT family",SAUSA300_2595,K,16
NE645,2,K18,,"ABC transporter, ATP-binding protein",SAUSA300_0647,K,18
NE646,2,K20,rpoE,"DNA-directed RNA polymerase, delta subunit",SAUSA300_2082,K,20
NE647,2,K22,,conserved hypothetical protein,SAUSA300_1485,K,22
NE648,2,K24,glvC,"PTS system, arbutin-like IIBC component",SAUSA300_2270,K,24
NE649,2,M2,,staphylococcal tandem lipoprotein,SAUSA300_0101,M,2
NE650,2,M4,deoD,purine nucleoside phosphorylase,SAUSA300_2091,M,4
NE651,2,M6,,exotoxin,SAUSA300_0400,M,6
NE652,2,M8,ampA,cytosol aminopeptidase,SAUSA300_0845,M,8
NE653,2,M10,,putative lipoprotein,SAUSA300_0297,M,10
NE654,2,M12,,"hydrolase, alpha/beta hydrolase fold family",SAUSA300_0604,M,12
NE655,2,M14,msrB,methionine-R-sulfoxide reductase,SAUSA300_1316,M,14
NE656,2,M16,,HIT family protein,SAUSA300_1787,M,16
NE657,2,M18,panD,aspartate 1-decarboxylase,SAUSA300_2532,M,18
NE658,2,M20,potD,"spermidine/putrescine ABC transporter,  spermidine/putrescine-binding protein",SAUSA300_1002,M,20
NE659,2,M22,,conserved hypothetical protein,SAUSA300_2414,M,22
NE660,2,M24,gcvT,aminomethyltransferase (glycine cleavage system  T protein),SAUSA300_1498,M,24
NE661,2,O2,,"putative Na+/H+ antiporter, MnhG component",SAUSA300_0616,O,2
NE662,2,O4,,putative NAD(P)H-flavin oxidoreductase,SAUSA300_0381,O,4
NE663,2,O6,,"maltose ABC transporter, permease protein",SAUSA300_0211,O,6
NE664,2,O8,,conserved hypothetical protein,SAUSA300_0516,O,8
NE665,2,O10,,"transcriptional regulator, Fur family",SAUSA300_1842,O,10
NE666,2,O12,moaA,molybdenum cofactor biosynthesis protein A,SAUSA300_2219,O,12
NE667,2,O14,hsdR,"type I restriction-modification enzyme, R   subunit",SAUSA300_0196,O,14
NE668,2,O16,,putative membrane protein,SAUSA300_2274,O,16
NE669,2,O18,Cap5O,capsular polysaccharide biosynthesis protein Cap5O,SAUSA300_0166,O,18
NE670,2,O20,,conserved hypothetical protein,SAUSA300_0874,O,20
NE671,2,O22,,conserved hypothetical protein,SAUSA300_2310,O,22
NE672,2,O24,,homoserine kinase,SAUSA300_1228,O,24
NE673,2,B2,,conserved hypothetical protein,SAUSA300_0872,B,2
NE674,2,B4,,conserved hypothetical protein,SAUSA300_1056,B,4
NE675,2,B6,sirB,"iron compound ABC transporter, permease protein  SirB",SAUSA300_0116,B,6
NE676,2,B8,,"acetyltransferase, GNAT family",SAUSA300_2468,B,8
NE677,2,B10,bccT,"choline/carnitine/betaine transporter, BCCT family",SAUSA300_2549,B,10
NE678,2,B12,plc,1-phosphatidylinositol phosphodiesterase,SAUSA300_0099,B,12
NE679,2,B14,pbp4,penicillin-binding protein 4,SAUSA300_0629,B,14
NE680,2,B16,,conserved hypothetical protein,SAUSA300_0915,B,16
NE681,2,B18,kdpB,"K+-transporting ATPase, B subunit",SAUSA300_2033,B,18
NE682,2,B20,,conserved hypothetical protein,SAUSA300_0668,B,20
NE683,2,B22,oppB,"oligopeptide ABC transporter, permease protein",SAUSA300_0895,B,22
NE684,2,B24,,conserved hypothetical protein,SAUSA300_1081,B,24
NE685,2,D2,,conserved hypothetical protein,SAUSA300_0047,D,2
NE686,2,D4,,putative membrane protein,SAUSA300_1998,D,4
NE687,2,D6,,phage terminase family protein,SAUSA300_1981,D,6
NE688,2,D8,,conserved hypothetical protein,SAUSA300_2086,D,8
NE689,2,D10,,conserved hypothetical protein,SAUSA300_0655,D,10
NE690,2,D12,,"transcriptional regulator, MerR family",SAUSA300_2445,D,12
NE691,2,D14,,monooxygenase family protein,SAUSA300_2255,D,14
NE692,2,D16,,conserved hypothetical protein,SAUSA300_1903,D,16
NE693,2,D18,mobB,molybdopterin-guanine dinucleotide biosynthesis  protein B,SAUSA300_2223,D,18
NE694,2,D20,,putative acetoacetyl-CoA reductase,SAUSA300_1173,D,20
NE695,2,D22,,"transcriptional antiterminator, BglG family",SAUSA300_0333,D,22
NE696,2,D24,,putative phosphoglycerate mutase family protein,SAUSA300_0375,D,24
NE697,2,F2,cysM,cysteine synthase/cystathionine beta-synthase,SAUSA300_0433,F,2
NE698,2,F4,,conserved hypothetical protein,SAUSA300_1483,F,4
NE699,2,F6,clpC,endopeptidase,SAUSA300_0510,F,6
NE700,2,F8,,conserved hypothetical protein,SAUSA300_0664,F,8
NE701,2,F10,,type III leader peptidase family protein,SAUSA300_1609,F,10
NE702,2,F12,hisB,imidazole glycerol phosphate dehydratase hisB,SAUSA300_2609,F,12
NE703,2,F14,,conserved hypothetical protein,SAUSA300_1750,F,14
NE704,2,F16,,L-ribulokinase,SAUSA300_0537,F,16
NE705,2,F18,,phage portal protein,SAUSA300_1940,F,18
NE706,2,F20,fhs,formate-tetrahydrofolate ligase,SAUSA300_1678,F,20
NE707,2,F22,,putative lipoprotein,SAUSA300_1379,F,22
NE708,2,F24,,"phi77 ORF003-like protein, phage terminase,large subunit",SAUSA300_1941,F,24
NE709,2,H2,,"IS1181, transposase",SAUSA300_1810,H,2
NE710,2,H4,,thermonuclease precursor,SAUSA300_0776,H,4
NE711,2,H6,,conserved hypothetical protein,SAUSA300_1652,H,6
NE712,2,H8,,conserved hypothetical protein,SAUSA300_1551,H,8
NE713,2,H10,,putative transcriptional regulator,SAUSA300_0577,H,10
NE714,2,H12,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,SAUSA300_1558,H,12
NE715,2,H14,,conserved hypothetical protein,SAUSA300_2348,H,14
NE716,2,H16,,putative membrane protein,SAUSA300_1637,H,16
NE717,2,H18,,putative lipoprotein,SAUSA300_1376,H,18
NE718,2,H20,ilvD,dihydroxy-acid dehydratase,SAUSA300_2006,H,20
NE719,2,H22,corA,magnesium and cobalt transport protein,SAUSA300_2293,H,22
NE720,2,H24,,conserved hypothetical protein,SAUSA300_1663,H,24
NE721,2,J2,,lytic regulatory protein,SAUSA300_2100,J,2
NE722,2,J4,,phiSLT ORF488-like protein,SAUSA300_1388,J,4
NE723,2,J6,fur,ferric uptake regulation protein,SAUSA300_1514,J,6
